Industry,Count,Score
Information Technology and Services,798482,90
Marketing and Advertising,657376,90
Human Resources,289651,70
Computer Software,283835,90
Financial Services,264522,80
Staffing and Recruiting,228199,60
Internet,172269,60
Management Consulting,171246,90
Telecommunications,159799,80
Retail,150514,90
Hospital & Health Care,146482,90
Higher Education,133890,70
Real Estate,122746,30
Education Management,121295,80
Public Relations and Communications,111916,40
Banking,110570,80
Accounting,109805,90
Nonprofit Organization Management,103693,40
"Health, Wellness and Fitness",94578,40
Insurance,91241,60
Oil & Energy,86436,70
Construction,84489,30
Professional Training & Coaching,76365,50
Pharmaceuticals,75741,80
Consumer Goods,75615,80
Automotive,73205,70
Hospitality,70893,60
Design,65233,50
Entertainment,64289,30
Law Practice,63298,30
Online Media,61638,40
Electrical/Electronic Manufacturing,61333,70
Food & Beverages,60673,50
Government Administration,60348,80
Mechanical or Industrial Engineering,58656,80
Writing and Editing,57210,40
Logistics and Supply Chain,56822,60
Research,52413,40
Media Production,46747,40
Medical Devices,45106,50
Apparel & Fashion,45054,50
Computer Networking,44622,80
Broadcast Media,42554,30
Legal Services,42109,30
Consumer Services,41745,50
Events Services,39051,40
Publishing,38423,40
Biotechnology,34200,70
Sports,33335,40
Investment Management,32654,60
"Leisure, Travel & Tourism",31273,50
Military,31207,
Computer & Network Security,30549,90
Graphic Design,30202,50
Defense & Space,29708,
Executive Office,29136,
Information Services,28854,90
Transportation/Trucking/Railroad,28228,70
International Trade and Development,27403,60
Chemicals,27226,70
Environmental Services,26802,60
Computer Hardware,26696,80
Semiconductors,26063,80
Market Research,25629,60
Mental Health Care,25515,50
Aviation & Aerospace,25470,80
Renewables & Environment,25374,80
Medical Practice,25171,90
Architecture & Planning,24140,75
Civil Engineering,23703,60
Music,22012,40
Food Production,21212,50
Consumer Electronics,21072,70
Airlines/Aviation,20732,70
Outsourcing/Offshoring,20468,
Venture Capital & Private Equity,19875,
Utilities,19685,
Mining & Metals,19546,
Security and Investigations,19543,
Photography,18864,
Facilities Services,18489,
Wholesale,17777,
Investment Banking,17723,
Building Materials,17559,
E-Learning,17336,
Restaurants,17195,
Primary/Secondary Education,16907,
Individual & Family Services,16517,
Machinery,16243,
International Affairs,16081,
Program Development,15641,
Business Supplies and Equipment,15509,
Printing,15403,
Government Relations,15299,
Cosmetics,15040,
Industrial Automation,13333,
Import and Export,13008,
Motion Pictures and Film,12494,
Wireless,12074,
Civic & Social Organization,12036,
Newspapers,11679,
Arts and Crafts,11527,
Religious Institutions,11274,
Luxury Goods & Jewelry,11131,
Fine Art,11068,
Public Policy,11021,
Commercial Real Estate,10941,
Textiles,10776,
Fund-Raising,8911,
Capital Markets,8732,
Sporting Goods,8707,
Wine and Spirits,8376,
Law Enforcement,7899,
Packaging and Containers,7821,
Computer Games,7795,
Furniture,7581,
Maritime,7345,
Translation and Localization,7247,
Performing Arts,6933,
Philanthropy,6845,
Plastics,6472,
Farming,6242,
Public Safety,6022,
Gambling & Casinos,5438,
Political Organization,5364,
Think Tanks,5245,
Alternative Medicine,5139,
Libraries,4943,
Museums and Institutions,4497,
Warehousing,4445,
Recreational Facilities and Services,4306,
Paper & Forest Products,4264,
Veterinary,3299,
Supermarkets,2809,
"Glass, Ceramics & Concrete",2312,
Tobacco,2141,
Package/Freight Delivery,2032,
Dairy,1999,
Nanotechnology,1915,
Shipbuilding,1733,
Judiciary,1711,
Alternative Dispute Resolution,1608,
Animation,1608,
Legislative Office,1003,
Fishery,986,
Railroad Manufacture,967,
Ranching,704,